번호,종목명,평가액 (억원),자산군 내 비중, 지분율
1947,CELSIUS HOLDINGS INC,49 ,0.00%,0.05%
1948,TURKCELL ILETISIM HIZMET AS,48 ,0.00%,0.09%
1949,CREDIT SAISON CO LTD,48 ,0.00%,0.16%
1950,CHINA STATE CONSTRUCTION INT,48 ,0.00%,0.07%
1951,UNILEVER INDONESIA TBK PT,48 ,0.00%,0.03%
1952,CGN POWER CO LTD H,48 ,0.00%,0.14%
1953,ESSENTIAL UTILITIES INC,48 ,0.00%,0.03%
1954,CASIO COMPUTER CO LTD,48 ,0.00%,0.15%
1955,WESTERN SUPERCONDUCTING TE A,48 ,0.00%,0.06%
1956,SIEMENS LTD,48 ,0.00%,0.03%
1957,BWX TECHNOLOGIES INC,48 ,0.00%,0.07%
1958,HIBBETT INC,48 ,0.00%,0.43%
1959,CENTRE TESTING INTL GROUP A,48 ,0.00%,0.07%
1960,GLOBALFOUNDRIES INC,48 ,0.00%,0.01%
1961,HYGEIA HEALTHCARE HOLDINGS C,48 ,0.00%,0.09%
1962,ICL GROUP LTD,48 ,0.00%,0.04%
1963,SEKISUI CHEMICAL CO LTD,48 ,0.00%,0.06%
1964,CHACHA FOOD CO LTD A,48 ,0.00%,0.10%
1965,BANCOLOMBIA S.A. SPONS ADR,47 ,0.00%,0.12%
1966,VERALLIA,47 ,0.00%,0.09%
1967,MR PRICE GROUP LTD,47 ,0.00%,0.16%
1968,VIENNA INSURANCE GROUP AG,47 ,0.00%,0.12%
1969,CONTAINER CORP OF INDIA LTD,47 ,0.00%,0.07%
1970,DTE MIDSTREAM LLC W/I,47 ,0.00%,0.00%
1971,GULF ENERGY DEVELOPM FOREIGN,47 ,0.00%,0.02%
1972,IND + COMM BK OF CHINA A,47 ,0.00%,0.00%
1973,UNI PRESIDENT CHINA HOLDINGS,47 ,0.00%,0.09%
1974,SYLVAMO CORP,47 ,0.00%,0.17%
1975,TAIWAN BUSINESS BANK,47 ,0.00%,0.11%
1976,KINROSS GOLD CORP,47 ,0.00%,0.07%
1977,BANCO DEL BAJIO SA,47 ,0.00%,0.10%
1978,FRESENIUS SE + CO KGAA,47 ,0.00%,0.02%
1979,GULF ENERGY DEVELOPMENT NVDR,47 ,0.00%,0.02%
1980,NIPPON SHINYAKU CO LTD,47 ,0.00%,0.09%
1981,JOHN WOOD GROUP PLC,47 ,0.00%,0.33%
1982,NEW CHINA LIFE INSURANCE C H,47 ,0.00%,0.15%
1983,BKW AG,47 ,0.00%,0.05%
1984,RUENTEX DEVELOPMENT CO LTD,47 ,0.00%,0.08%
1985,S F HOLDING CO LTD A,47 ,0.00%,0.01%
1986,FIRST MERCHANTS CORP,46 ,0.00%,0.15%
1987,GUANGDONG HAID GROUP CO A,46 ,0.00%,0.02%
1988,HACI OMER SABANCI HOLDING,46 ,0.00%,0.07%
1989,CHINA PACIFIC INSURANCE GR A,46 ,0.00%,0.04%
1990,CENTRAIS ELETRICAS BRAS PR B,46 ,0.00%,0.16%
1991,KEYERA CORP,46 ,0.00%,0.07%
1992,HYSAN DEVELOPMENT CO,46 ,0.00%,0.11%
1993,CHINA MERCHANTS PORT HOLDING,46 ,0.00%,0.06%
1994,FIRST CITIZENS BCSHS   CL A,46 ,0.00%,0.04%
1995,JUBILANT FOODWORKS LTD,46 ,0.00%,0.09%
1996,ENERGY ABSOLUTE PCL NVDR,46 ,0.00%,0.03%
1997,ALFA S.A.B. A,46 ,0.00%,0.12%
1998,SOHGO SECURITY SERVICES CO,46 ,0.00%,0.13%
1999,ASPEED TECHNOLOGY INC,46 ,0.00%,0.17%
2000,AUTOHOME INC ADR,46 ,0.00%,0.09%
2001,MAGAZINE LUIZA SA,46 ,0.00%,0.10%
2002,OOREDOO QPSC,46 ,0.00%,0.04%
2003,DAQO NEW ENERGY CORP ADR,46 ,0.00%,0.13%
2004,GENTING BHD,45 ,0.00%,0.09%
2005,INTERGLOBE AVIATION LTD,45 ,0.00%,0.04%
2006,LEGEND BIOTECH CORP ADR,45 ,0.00%,0.04%
2007,SEVERSTAL PJSC,45 ,0.00%,0.03%
2008,SHANGHAI M+G STATIONERY IN A,45 ,0.00%,0.05%
2009,TAIHEIYO CEMENT CORP,45 ,0.00%,0.19%
2010,SWATCH GROUP AG/THE BR,45 ,0.00%,0.04%
2011,SBI CARDS + PAYMENT SERVICES,45 ,0.00%,0.04%
2012,TURKIYE IS BANKASI C,45 ,0.00%,0.05%
2013,SERCO GROUP PLC,45 ,0.00%,0.16%
2014,RHB BANK BHD,45 ,0.00%,0.06%
2015,HENSOLDT AG,45 ,0.00%,0.14%
2016,UNIVERSAL ROBINA CORP,45 ,0.00%,0.07%
2017,BLACK KNIGHT INC,45 ,0.00%,0.04%
2018,SAUDI TADAWUL GROUP HOLDING,45 ,0.00%,0.06%
2019,WESTLAKE CORP,45 ,0.00%,0.03%
2020,SECURITAS AB B SHS,44 ,0.00%,0.08%
2021,VANGUARD INTERNATIONAL SEMI,44 ,0.00%,0.08%
2022,ZHEN DING TECHNOLOGY HOLDING,44 ,0.00%,0.11%
2023,CHINA POWER INTERNATIONAL,44 ,0.00%,0.07%
2024,CHINA OILFIELD SERVICES H,44 ,0.00%,0.16%
2025,ACC LTD,44 ,0.00%,0.06%
2026,PURE STORAGE INC   CLASS A,44 ,0.00%,0.04%
2027,NESTLE (MALAYSIA) BERHAD,44 ,0.00%,0.05%
2028,KNIGHT SWIFT TRANSPORTATION,44 ,0.00%,0.04%
2029,WESTON (GEORGE) LTD,44 ,0.00%,0.02%
2030,SASA POLYESTER SANAYI,44 ,0.00%,0.03%
2031,LIFE STORAGE INC,44 ,0.00%,0.04%
2032,MITSUI OSK LINES LTD,44 ,0.00%,0.04%
2033,SSAB AB A SHARES,44 ,0.00%,0.21%
2034,AMPOL LTD,44 ,0.00%,0.08%
2035,U HAUL HOLDING CO NON VOTING,44 ,0.00%,0.04%
2036,CHINA SHENHUA ENERGY CO A,43 ,0.00%,0.01%
2037,HANGZHOU HIKVISION DIGITAL A,43 ,0.00%,0.01%
2038,GREENTOWN SERVICE GROUP CO L,43 ,0.00%,0.16%
2039,CHINA VANKE CO LTD  A,43 ,0.00%,0.01%
2040,SWEDISH ORPHAN BIOVITRUM AB,43 ,0.00%,0.05%
2041,UNIPOL GRUPPO SPA,43 ,0.00%,0.10%
2042,SAUDI INVESTMENT BANK/THE,43 ,0.00%,0.07%
2043,INVENTEC CORP,43 ,0.00%,0.11%
2044,WINBOND ELECTRONICS CORP,43 ,0.00%,0.13%
2045,HANSOH PHARMACEUTICAL GROUP,43 ,0.00%,0.03%
2046,ENERSYS,43 ,0.00%,0.11%
2047,XIAMEN FARATRONIC CO LTD A,43 ,0.00%,0.07%
2048,MARUI GROUP CO LTD,43 ,0.00%,0.10%
2049,GDS HOLDINGS LTD CL A,43 ,0.00%,0.09%
2050,SHENZHEN INOVANCE TECHNOLO A,43 ,0.00%,0.01%
2051,EAST MONEY INFORMATION CO A,43 ,0.00%,0.01%
2052,NCR CORPORATION,43 ,0.00%,0.10%
2053,SAWAI GROUP HOLDINGS CO LTD,43 ,0.00%,0.25%
2054,VICINITY CENTRES,43 ,0.00%,0.05%
2055,ERIE INDEMNITY COMPANY CL A,42 ,0.00%,0.03%
2056,IHI CORP,42 ,0.00%,0.07%
2057,SIME DARBY PLANTATION BHD,42 ,0.00%,0.05%
2058,GRUPO TELEVISA SAB SER CPO,42 ,0.00%,0.13%
2059,ZHONGFU SHENYING CARBON FI A,42 ,0.00%,0.06%
2060,ASELSAN ELEKTRONIK SANAYI,42 ,0.00%,0.04%
2061,ACER INC,42 ,0.00%,0.14%
2062,SUBSEA 7 SA,42 ,0.00%,0.10%
2063,DIALOG GROUP BHD,42 ,0.00%,0.11%
2064,ELM CO,42 ,0.00%,0.05%
2065,STARWOOD PROPERTY TRUST INC,42 ,0.00%,0.06%
2066,BUMRUNGRAD HOSPITAL FOREIGN,42 ,0.00%,0.07%
2067,ANHUI HONGLU STEEL CONSTRU A,42 ,0.00%,0.11%
2068,BYD ELECTRONIC INTL CO LTD,42 ,0.00%,0.05%
2069,CHINA RAILWAY GROUP LTD H,42 ,0.00%,0.15%
2070,TELEFLEX INC,42 ,0.00%,0.03%
2071,VERINT SYSTEMS INC,42 ,0.00%,0.14%
2072,JB HI FI LTD,42 ,0.00%,0.11%
2073,REGENCY CENTERS CORP,42 ,0.00%,0.03%
2074,PERFORMANCE FOOD GROUP CO,42 ,0.00%,0.04%
2075,WASHINGTON H. SOUL PATTINSON,42 ,0.00%,0.05%
2076,CHENG SHIN RUBBER IND CO LTD,42 ,0.00%,0.09%
2077,SAUDI IND INVESTMENT GROUP,42 ,0.00%,0.07%
2078,DEUTSCHE PFANDBRIEFBANK AG,42 ,0.00%,0.32%
2079,GRIFOLS SA,42 ,0.00%,0.07%
2080,PILGRIM S PRIDE CORP,42 ,0.00%,0.06%
2081,TELENOR ASA,42 ,0.00%,0.03%
2082,JIANGSU HENGRUI PHARMACEUT A,42 ,0.00%,0.01%
2083,TRIP.COM GROUP LTD,41 ,0.00%,0.01%
2084,POLYUS PJSC,41 ,0.00%,0.02%
2085,MARUICHI STEEL TUBE LTD,41 ,0.00%,0.19%
2086,FINNING INTERNATIONAL INC,41 ,0.00%,0.09%
2087,CHINA STATE CONSTRUCTION  A,41 ,0.00%,0.01%
2088,Q HOLDING PJSC,41 ,0.00%,0.04%
2089,ENERGY ABSOLUTE PCL FOREIGN,41 ,0.00%,0.03%
2090,CHINA MINSHENG BANKING COR H,41 ,0.00%,0.11%
2091,FOSUN INTERNATIONAL LTD,41 ,0.00%,0.05%
2092,PERRIGO CO PLC,41 ,0.00%,0.07%
2093,JIANGSU YANGHE BREWERY  A,41 ,0.00%,0.01%
2094,DRIVEN BRANDS HOLDINGS INC,41 ,0.00%,0.07%
2095,M+G PLC,41 ,0.00%,0.06%
2096,JTEKT CORP,41 ,0.00%,0.13%
2097,HANGZHOU TIGERMED CONSULTI H,41 ,0.00%,0.23%
2098,XPENG INC   ADR,41 ,0.00%,0.05%
2099,BANCOLOMBIA SA,41 ,0.00%,0.07%
2100,NOMURA HOLDINGS INC,41 ,0.00%,0.03%
2101,GIANT MANUFACTURING,41 ,0.00%,0.13%
2102,SHENZHEN CAPCHEM TECHNOLOG A,41 ,0.00%,0.07%
2103,VF CORP,41 ,0.00%,0.03%
2104,FOX CORP   CLASS B,41 ,0.00%,0.05%
2105,DIC CORP,41 ,0.00%,0.19%
2106,NIPPON EXPRESS HOLDINGS INC,41 ,0.00%,0.06%
2107,SANTANDER BANK POLSKA SA,41 ,0.00%,0.05%
2108,EQUITY LIFESTYLE PROPERTIES,40 ,0.00%,0.03%
2109,PAYLOCITY HOLDING CORP,40 ,0.00%,0.03%
2110,J + J SNACK FOODS CORP,40 ,0.00%,0.11%
2111,NEC CORP,40 ,0.00%,0.03%
2112,AGRICULTURAL BANK OF CHINA A,40 ,0.00%,0.00%
2113,LIBERTY BROADBAND C,40 ,0.00%,0.03%
2114,PBF ENERGY INC CLASS A,40 ,0.00%,0.06%
2115,SPARK NEW ZEALAND LTD,40 ,0.00%,0.05%
2116,SURGUTNEFTEGAS PREFERENCE,40 ,0.00%,0.12%
2117,MRF LTD,40 ,0.00%,0.07%
2118,MELROSE INDUSTRIES PLC,40 ,0.00%,0.05%
2119,TORRENT PHARMACEUTICALS LTD,40 ,0.00%,0.05%
2120,WYNN RESORTS LTD,40 ,0.00%,0.03%
2121,KOBE STEEL LTD,40 ,0.00%,0.16%
2122,BOSIDENG INTL HLDGS LTD,40 ,0.00%,0.06%
2123,CHINA TAIPING INSURANCE HOLD,40 ,0.00%,0.07%
2124,LUXSHARE PRECISION INDUSTR A,40 ,0.00%,0.01%
2125,TONGWEI CO LTD A,40 ,0.00%,0.01%
2126,AMERICAN HOMES 4 RENT  A,39 ,0.00%,0.03%
2127,MAXIS BHD,39 ,0.00%,0.05%
2128,MINTH GROUP LTD,39 ,0.00%,0.10%
2129,WILEY (JOHN) + SONS CLASS A,39 ,0.00%,0.17%
2130,IIDA GROUP HOLDINGS CO LTD,39 ,0.00%,0.07%
2131,BANK AL JAZIRA,39 ,0.00%,0.07%
2132,YUM CHINA HOLDINGS INC,39 ,0.00%,0.01%
2133,ICICI PRUDENTIAL LIFE INSURA,39 ,0.00%,0.04%
2134,AP MOLLER MAERSK A/S A,39 ,0.00%,0.01%
2135,KIRBY CORP,39 ,0.00%,0.08%
2136,CITIC SECURITIES CO A,39 ,0.00%,0.01%
2137,CROMPTON GREAVES CONSUMER EL,39 ,0.00%,0.12%
2138,INDORAMA VENTURES PCL NVDR,39 ,0.00%,0.05%
2139,BANGKOK BANK PCL FOREIGN REG,39 ,0.00%,0.04%
2140,MAGNOLIA OIL + GAS CORP   A,39 ,0.00%,0.07%
2141,TRAVELSKY TECHNOLOGY LTD H,39 ,0.00%,0.16%
2142,GENPACT LTD,39 ,0.00%,0.04%
2143,PHOSAGRO PJSC,39 ,0.00%,0.03%
2144,BALKRISHNA INDUSTRIES LTD,39 ,0.00%,0.06%
2145,SOPRA STERIA GROUP,39 ,0.00%,0.10%
2146,PTT GLOBAL CHEMICAL PCL NVDR,39 ,0.00%,0.05%
2147,YOKOGAWA ELECTRIC CORP,39 ,0.00%,0.07%
2148,MPHASIS LTD,39 ,0.00%,0.07%
2149,HUA HONG SEMICONDUCTOR LTD,39 ,0.00%,0.07%
2150,PALANTIR TECHNOLOGIES INC A,38 ,0.00%,0.02%
2151,CROWN HOLDINGS INC,38 ,0.00%,0.03%
2152,AIER EYE HOSPITAL GROUP CO A,38 ,0.00%,0.01%
2153,360 DIGITECH INC,38 ,0.00%,0.09%
2154,FUJI ELECTRIC CO LTD,38 ,0.00%,0.05%
2155,CALIX INC,38 ,0.00%,0.07%
2156,PLUS500 LTD,38 ,0.00%,0.15%
2157,OSAKA GAS CO LTD,38 ,0.00%,0.04%
2158,CHONGQING FULING ZHACAI A,38 ,0.00%,0.09%
2159,LUXSHARE PRECISION INDUSTR A,38 ,0.00%,0.01%
2160,TIM SA,38 ,0.00%,0.05%
2161,AXIATA GROUP BERHAD,38 ,0.00%,0.05%
2162,ZHONGAN ONLINE P+C INSURAN H,38 ,0.00%,0.08%
2163,ROCHE HOLDING AG BR,38 ,0.00%,0.01%
2164,TOYO TIRE CORP,38 ,0.00%,0.17%
2165,PLDT INC,38 ,0.00%,0.06%
2166,MONCLER SPA,38 ,0.00%,0.02%
2167,BELLWAY PLC,38 ,0.00%,0.11%
2168,HARMONY GOLD MINING CO LTD,38 ,0.00%,0.14%
2169,ELF BEAUTY INC,38 ,0.00%,0.10%
2170,MABANEE CO KPSC,38 ,0.00%,0.09%
2171,YADEA GROUP HOLDINGS LTD,38 ,0.00%,0.06%
2172,INDIAN RAILWAY CATERING + TO,38 ,0.00%,0.05%
2173,DONGFENG MOTOR GRP CO LTD H,38 ,0.00%,0.18%
2174,CNH INDUSTRIAL NV,38 ,0.00%,0.01%
2175,ANDRITZ AG,37 ,0.00%,0.05%
2176,FLOW TRADERS,37 ,0.00%,0.27%
2177,DAICEL CORP,37 ,0.00%,0.13%
2178,INARI AMERTRON BHD,37 ,0.00%,0.13%
2179,NATIONAL BANK OF GREECE,37 ,0.00%,0.08%
2180,ROTORK PLC,37 ,0.00%,0.09%
2181,INTERNATIONAL MONEY EXPRESS,37 ,0.00%,0.32%
2182,ADMIRAL GROUP PLC,37 ,0.00%,0.04%
2183,DASSAULT AVIATION SA,37 ,0.00%,0.02%
2184,EN JAPAN INC,37 ,0.00%,0.32%
2185,DELIVERY HERO SE,37 ,0.00%,0.02%
2186,KURARAY CO LTD,37 ,0.00%,0.10%
2187,WULIANGYE YIBIN CO LTD A,37 ,0.00%,0.00%
2188,BRIGHTHOUSE FINANCIAL INC,37 ,0.00%,0.08%
2189,STAG INDUSTRIAL INC,37 ,0.00%,0.05%
2190,SANTEN PHARMACEUTICAL CO LTD,37 ,0.00%,0.09%
2191,SUPER MICRO COMPUTER INC,36 ,0.00%,0.07%
2192,STEWART INFORMATION SERVICES,36 ,0.00%,0.25%
2193,INDOFOOD SUKSES MAKMUR TBK P,36 ,0.00%,0.08%
2194,GRUPO CARSO SAB DE CV SER A1,36 ,0.00%,0.03%
2195,MORINAGA MILK INDUSTRY CO,36 ,0.00%,0.16%
2196,SURGUTNEFTEGAS PJSC,36 ,0.00%,0.03%
2197,WUXI APPTEC CO LTD A,36 ,0.00%,0.01%
2198,YAPI VE KREDI BANKASI,36 ,0.00%,0.05%
2199,SHANGHAI PUDONG DEVEL BANK A,36 ,0.00%,0.01%
2200,THUNDER SOFTWARE TECHNOLOG A,36 ,0.00%,0.04%
2201,GLODON CO LTD A,36 ,0.00%,0.03%
2202,INNER MONGOLIA YITAI COAL B,36 ,0.00%,0.16%
2203,TAIWAN HIGH SPEED RAIL CORP,36 ,0.00%,0.05%
2204,SEI INVESTMENTS COMPANY,36 ,0.00%,0.04%
2205,HINDUSTAN PETROLEUM CORP,36 ,0.00%,0.07%
2206,CONSENSUS CLOUD SOLUTION,36 ,0.00%,0.26%
2207,LUMEN TECHNOLOGIES INC,36 ,0.00%,0.05%
2208,CENTRAL RETAIL CORP FOREIGN,36 ,0.00%,0.03%
2209,IA FINANCIAL CORP INC,36 ,0.00%,0.05%
2210,GODREJ PROPERTIES LTD,36 ,0.00%,0.07%
2211,SIGNATURE BANK,35 ,0.00%,0.04%
2212,CHONGQING BREWERY CO A,35 ,0.00%,0.03%
2213,SMITH + NEPHEW PLC  SPON ADR,35 ,0.00%,0.02%
2214,MATSON INC,35 ,0.00%,0.12%
2215,NETWORK INTERNATIONAL HOLDIN,35 ,0.00%,0.14%
2216,SEGRO PLC,35 ,0.00%,0.03%
2217,VERBUND AG,35 ,0.00%,0.02%
2218,AFRICAN RAINBOW MINERALS LTD,35 ,0.00%,0.07%
2219,BANDHAN BANK LTD,35 ,0.00%,0.06%
2220,ALROSA PJSC,35 ,0.00%,0.05%
2221,COMMUNITY HEALTHCARE TRUST I,35 ,0.00%,0.30%
2222,WAN HAI LINES LTD,35 ,0.00%,0.04%
2223,JIANGSU HENGLI HYDRAULIC C A,35 ,0.00%,0.02%
2224,EMPRESAS CMPC SA,35 ,0.00%,0.07%
2225,NATIONAL STORAGE AFFILIATES,35 ,0.00%,0.08%
2226,FUCHS PETROLUB SE PREF,35 ,0.00%,0.11%
2227,KOMERI CO LTD,35 ,0.00%,0.24%
2228,ANADOLU EFES BIRACILIK VE,35 ,0.00%,0.13%
2229,ZIJIN MINING GROUP CO LTD A,35 ,0.00%,0.01%
2230,ARKEMA,34 ,0.00%,0.04%
2231,MANHATTAN ASSOCIATES INC,34 ,0.00%,0.04%
2232,ZOMATO LTD,34 ,0.00%,0.04%
2233,MASIMO CORP,34 ,0.00%,0.03%
2234,TOPSPORTS INTERNATIONAL HOLD,34 ,0.00%,0.06%
2235,CHINA AIRLINES LTD,34 ,0.00%,0.07%
2236,MINOR INTERNATIONAL PCL FOR,34 ,0.00%,0.05%
2237,HUNDSUN TECHNOLOGIES INC A,34 ,0.00%,0.02%
2238,AFFILIATED MANAGERS GROUP,34 ,0.00%,0.05%
2239,DONGYUE GROUP,34 ,0.00%,0.11%
2240,HAIER SMART HOME CO LTD A,34 ,0.00%,0.01%
2241,AXIS CAPITAL HOLDINGS LTD,34 ,0.00%,0.06%
2242,BANK OF NINGBO CO LTD  A,34 ,0.00%,0.01%
2243,SPECTRIS PLC,34 ,0.00%,0.07%
2244,BAJAJ HOLDINGS AND INVESTMEN,34 ,0.00%,0.03%
2245,SPECTRUM BRANDS HOLDINGS INC,34 ,0.00%,0.11%
2246,AFYA LTD CLASS A,34 ,0.00%,0.36%
2247,ONEMAIN HOLDINGS INC,34 ,0.00%,0.07%
2248,SOLARIS OILFIELD INFRAST A,34 ,0.00%,0.81%
2249,ACI WORLDWIDE INC,34 ,0.00%,0.10%
2250,ZSCALER INC,34 ,0.00%,0.02%
2251,JIUMAOJIU INTERNATIONAL HOLD,34 ,0.00%,0.07%
2252,CONCENTRIX CORP,34 ,0.00%,0.04%
2253,INCHCAPE PLC,34 ,0.00%,0.06%
2254,BANCO SANTANDER  BRASIL UNIT,34 ,0.00%,0.01%
2255,COMPUTER ENGINEER + CONSULT,33 ,0.00%,0.61%
2256,MMG LTD,33 ,0.00%,0.12%
2257,TELEKOM MALAYSIA BHD,33 ,0.00%,0.06%
2258,BANCOLOMBIA SA PREF,33 ,0.00%,0.08%
2259,ABOITIZ EQUITY VENTURES INC,33 ,0.00%,0.04%
2260,YOKOHAMA RUBBER CO LTD,33 ,0.00%,0.10%
2261,H+R BLOCK INC,33 ,0.00%,0.05%
2262,CENTAMIN PLC,33 ,0.00%,0.17%
2263,HAN S LASER TECHNOLOGY IN A,33 ,0.00%,0.07%
2264,TECNOGLASS INC,33 ,0.00%,0.18%
2265,THE FOSCHINI GROUP LTD,33 ,0.00%,0.13%
2266,NS SOLUTIONS CORP,33 ,0.00%,0.12%
2267,XEROX HOLDINGS CORP,33 ,0.00%,0.11%
2268,SUNAC CHINA HOLDINGS LTD,33 ,0.00%,0.08%
2269,GREE ELECTRIC APPLIANCES I A,33 ,0.00%,0.01%
2270,PARKLAND CORP,33 ,0.00%,0.07%
2271,NATURA +CO HOLDING SA,33 ,0.00%,0.08%
2272,TOPCON CORP,33 ,0.00%,0.21%
2273,HINO MOTORS LTD,33 ,0.00%,0.12%
2274,EQT AB,33 ,0.00%,0.01%
2275,SHAANXI COAL INDUSTRY CO L A,33 ,0.00%,0.01%
2276,NET ONE SYSTEMS CO LTD,33 ,0.00%,0.12%
2277,BAWAG GROUP AG,32 ,0.00%,0.06%
2278,SAVOLA,32 ,0.00%,0.06%
2279,LIBERTY GLOBAL PLC  C,32 ,0.00%,0.05%
2280,JUMBO SA,32 ,0.00%,0.11%
2281,HEIDELBERGCEMENT AG,32 ,0.00%,0.02%
2282,CIA SIDERURGICA NACIONAL SA,32 ,0.00%,0.07%
2283,FORD OTOMOTIV SANAYI AS,32 ,0.00%,0.03%
2284,CHURCHILL DOWNS INC,32 ,0.00%,0.03%
2285,AIR TRANSPORT SERVICES GROUP,32 ,0.00%,0.13%
2286,MOSCOW EXCHANGE MICEX RTS PJ,32 ,0.00%,0.09%
2287,ISUZU MOTORS LTD,32 ,0.00%,0.03%
2288,HENNES + MAURITZ AB B SHS,32 ,0.00%,0.02%
2289,PEPKOR HOLDINGS LTD,32 ,0.00%,0.06%
2290,INTERCONEXION ELECTRICA SA,32 ,0.00%,0.05%
2291,BANK OF COMMUNICATIONS CO A,32 ,0.00%,0.01%
2292,CHINA VANKE CO LTD  A,32 ,0.00%,0.01%
2293,WEST FRASER TIMBER CO LTD,32 ,0.00%,0.04%
2294,MAXLINEAR INC,32 ,0.00%,0.09%
2295,VISTA OUTDOOR INC,32 ,0.00%,0.18%
2296,METALURGICA GERDAU SA PREF,32 ,0.00%,0.15%
2297,ELEMENT SOLUTIONS INC,31 ,0.00%,0.06%
2298,BOX INC   CLASS A,31 ,0.00%,0.06%
2299,GPT GROUP,31 ,0.00%,0.05%
2300,ITT INC,31 ,0.00%,0.04%
2301,HUBEI FEILIHUA QUARTZ GLAS A,31 ,0.00%,0.06%
2302,POLY DEVELOPMENTS AND HOLD A,31 ,0.00%,0.01%
2303,BOC AVIATION LTD,31 ,0.00%,0.04%
2304,SIGNIFY NV,31 ,0.00%,0.06%
2305,MAXAR TECHNOLOGIES INC,31 ,0.00%,0.06%
2306,CHINA LIFE INSURANCE CO A,31 ,0.00%,0.00%
2307,CRRC CORP LTD   H,31 ,0.00%,0.14%
2308,ZTE CORP A,31 ,0.00%,0.02%
2309,CREST NICHOLSON HOLDINGS,31 ,0.00%,0.33%
2310,ELEMENTIS PLC,31 ,0.00%,0.29%
2311,CENTRAL PATTANA PUB CO FOREI,31 ,0.00%,0.03%
2312,GENTING MALAYSIA BHD,31 ,0.00%,0.07%
2313,JA SOLAR TECHNOLOGY CO LTD A,31 ,0.00%,0.01%
2314,CIELO SA,31 ,0.00%,0.09%
2315,VISCOFAN SA,31 ,0.00%,0.08%
2316,PZ CUSSONS PLC,30 ,0.00%,0.22%
2317,LUPIN LTD,30 ,0.00%,0.06%
2318,BY HEALTH CO LTD A,30 ,0.00%,0.04%
2319,ALUMINUM CORP OF CHINA LTD A,30 ,0.00%,0.03%
2320,GREENTOWN CHINA HOLDINGS,30 ,0.00%,0.06%
2321,ANEKA TAMBANG TBK,30 ,0.00%,0.08%
2322,CITIC SECURITIES CO A,30 ,0.00%,0.01%
2323,ULTRAPAR PARTICIPACOES SA,30 ,0.00%,0.09%
2324,NORSK HYDRO ASA,30 ,0.00%,0.02%
2325,HUATAI SECURITIES CO LTD H,30 ,0.00%,0.12%
2326,SAAB AB B,30 ,0.00%,0.05%
2327,HACHIJUNI BANK LTD/THE,30 ,0.00%,0.12%
2328,ADIENT PLC,30 ,0.00%,0.07%
2329,HUANENG POWER INTL INC H,30 ,0.00%,0.11%
2330,KAR AUCTION SERVICES INC,30 ,0.00%,0.17%
2331,JIANGSU YANGHE BREWERY  A,30 ,0.00%,0.01%
2332,YUEXIU PROPERTY CO LTD,30 ,0.00%,0.06%
2333,AUROBINDO PHARMA LTD,30 ,0.00%,0.08%
2334,BOE TECHNOLOGY GROUP CO LT A,30 ,0.00%,0.01%
2335,NISHI NIPPON FINANCIAL HOLDI,30 ,0.00%,0.21%
2336,ENCOMPASS HEALTH CORP,30 ,0.00%,0.04%
2337,CHINA GALAXY SECURITIES CO H,30 ,0.00%,0.13%
2338,FAR EAST HORIZON LTD,29 ,0.00%,0.07%
2339,JOHNSON MATTHEY PLC,29 ,0.00%,0.05%
2340,CERIDIAN HCM HOLDING INC,29 ,0.00%,0.02%
2341,TREACE MEDICAL CONCEPTS INC,29 ,0.00%,0.18%
2342,RICARDO PLC,29 ,0.00%,0.64%
2343,CLEARFIELD INC,29 ,0.00%,0.16%
2344,ZHANGZHOU PIENTZEHUANG PHA A,29 ,0.00%,0.01%
2345,SAUDI RESEARCH + MEDIA GROUP,29 ,0.00%,0.06%
2346,MAPFRE SA,29 ,0.00%,0.04%
2347,VICTORIA S SECRET + CO,29 ,0.00%,0.08%
2348,BEIJING WANTAI BIOLOGICAL A,29 ,0.00%,0.01%
2349,BANCO DE CREDITO E INVERSION,29 ,0.00%,0.05%
2350,UNITED CO RUSAL INTERNATIONA,29 ,0.00%,0.03%
2351,EVE ENERGY CO LTD A,29 ,0.00%,0.01%
2352,SCG PACKAGING PCL FOREIGN,29 ,0.00%,0.03%
2353,EXACT SCIENCES CORP,29 ,0.00%,0.03%
2354,JFE SYSTEMS INC,29 ,0.00%,0.83%
2355,TELIA CO AB,29 ,0.00%,0.02%
2356,SUNGROW POWER SUPPLY CO LT A,29 ,0.00%,0.01%
2357,GLOBAL UNICHIP CORP,29 ,0.00%,0.08%
2358,METROPOLITAN BANK + TRUST,29 ,0.00%,0.05%
2359,NAHDI MEDICAL CO,29 ,0.00%,0.04%
2360,WHITEHAVEN COAL LTD,29 ,0.00%,0.04%
2361,TWILIO INC   A,29 ,0.00%,0.03%
2362,CHINA LITERATURE LTD,29 ,0.00%,0.06%
2363,CHINA LIFE INSURANCE CO A,29 ,0.00%,0.00%
2364,SAMVARDHANA MOTHERSON INTERN,29 ,0.00%,0.04%
2365,PTT GLOBAL CHEMICAL PCL FOR,29 ,0.00%,0.04%
2366,AMMB HOLDINGS BHD,29 ,0.00%,0.07%
2367,MICROPORT SCIENTIFIC CORP,29 ,0.00%,0.05%
2368,TRINA SOLAR CO LTD A,29 ,0.00%,0.01%
2369,BEIJING ENTERPRISES HLDGS,28 ,0.00%,0.06%
2370,ENERGISA SA UNITS,28 ,0.00%,0.07%
